Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,RPE
2025-08-14 19:01:16,"Medaix ",27m,"Leg Extension (Machine)",1,110.0,10.0,0,0.0,
2025-08-14 19:01:16,"Medaix ",27m,"Leg Extension (Machine)",2,130.0,10.0,0,0.0,
2025-08-14 19:01:16,"Medaix ",27m,"Seated Row (Machine)",1,150.0,15.0,0,0.0,
2025-08-14 19:01:16,"Medaix ",27m,"Seated Row (Machine)",2,150.0,15.0,0,0.0,
2025-08-14 19:01:16,"Medaix ",27m,"Shoulder Press (Machine)",1,120.0,13.0,0,0.0,
2025-08-14 19:01:16,"Medaix ",27m,"Shoulder Press (Machine)",2,120.0,13.0,0,0.0,
2025-08-14 19:01:16,"Medaix ",27m,"Lat Pulldown (Machine)",1,200.0,10.0,0,0.0,
2025-08-14 19:01:16,"Medaix ",27m,"Lat Pulldown (Machine)",2,180.0,10.0,0,0.0,
2025-08-14 19:01:16,"Medaix ",27m,"Torso Rotation (Machine)",1,70.0,13.0,0,0.0,
2025-08-14 19:01:16,"Medaix ",27m,"Torso Rotation (Machine)",2,70.0,13.0,0,0.0,
2025-08-14 19:01:16,"Medaix ",27m,"Back Extension (Machine)",1,120.0,13.0,0,0.0,
2025-08-14 19:01:16,"Medaix ",27m,"Back Extension (Machine)",2,120.0,12.0,0,0.0,
2025-08-31 11:40:49,"Medaix ",32m,"Elliptical Machine",1,0,0.0,0.8,300.0,
2025-08-31 11:40:49,"Medaix ",32m,"Leg Press",1,200.0,13.0,0,0.0,
2025-08-31 11:40:49,"Medaix ",32m,"Leg Press",2,200.0,13.0,0,0.0,
2025-08-31 11:40:49,"Medaix ",32m,"Leg Extension (Machine)",1,110.0,10.0,0,0.0,
2025-08-31 11:40:49,"Medaix ",32m,"Leg Extension (Machine)",2,110.0,10.0,0,0.0,
2025-08-31 11:40:49,"Medaix ",32m,"Seated Row (Machine)",1,150.0,15.0,0,0.0,
2025-08-31 11:40:49,"Medaix ",32m,"Seated Row (Machine)",2,150.0,11.0,0,0.0,
